filename,label,path
00021.jpg,6,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00021.jpg
00022.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00022.jpg
00023.jpg,8,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00023.jpg
00024.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00024.jpg
00025.jpg,2,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00025.jpg
00026.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00026.jpg
00027.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00027.jpg
00028.jpg,7,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00028.jpg
00029.jpg,5,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00029.jpg
00030.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00030.jpg
00031.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00031.jpg
00032.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00032.jpg
00033.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00033.jpg
00034.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00034.jpg
00035.jpg,2,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00035.jpg
00036.jpg,2,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00036.jpg
00037.jpg,0,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00037.jpg
00038.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00038.jpg
00039.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00039.jpg
00040.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00040.jpg
00041.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00041.jpg
00042.jpg,2,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/02\00042.jpg
