filename,label,path
00052.jpg,0,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00052.jpg
00053.jpg,0,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00053.jpg
00056.jpg,0,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00056.jpg
00057.jpg,0,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00057.jpg
00044.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00044.jpg
00046.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00046.jpg
00049.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00049.jpg
00059.jpg,1,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00059.jpg
00045.jpg,2,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00045.jpg
00048.jpg,2,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00048.jpg
00060.jpg,2,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00060.jpg
00065.jpg,2,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00065.jpg
00043.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00043.jpg
00062.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00062.jpg
00061.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00061.jpg
00066.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00066.jpg
00058.jpg,3,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00058.jpg
00055.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00055.jpg
00051.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00051.jpg
00050.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00050.jpg
00047.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00047.jpg
00063.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00063.jpg
00064.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00064.jpg
00054.jpg,4,G:/research/repo/Feature_extraction-and-classification-for-Text-Document-Analysis-master/03\00054.jpg
